Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words
Roth (2007),1,Target,lover,0,199877,0.0
Roth (2007),1,Foil,lovely,28,199877,0.14008615298408522
Roth (2007),2,Target,announcer,2,199877,0.010006153784577516
Roth (2007),2,Foil,announcement,1,199877,0.005003076892288758
Roth (2007),3,Target,action,5,199877,0.025015384461443788
Roth (2007),3,Foil,active,1,199877,0.005003076892288758
Roth (2007),4,Target,enjoyable,0,199877,0.0
Roth (2007),4,Foil,enjoyment,0,199877,0.0
Roth (2007),5,Target,possession,0,199877,0.0
Roth (2007),5,Foil,possessive,0,199877,0.0
Roth (2007),6,Target,thickness,0,199877,0.0
Roth (2007),6,Foil,thickly,0,199877,0.0
Roth (2007),7,Target,possibility,0,199877,0.0
Roth (2007),7,Foil,possibly,6,199877,0.030018461353732546
Roth (2007),8,Target,attraction,9,199877,0.045027692030598816
Roth (2007),8,Foil,attractive,0,199877,0.0
Roth (2007),9,Target,player,4,199877,0.020012307569155032
Roth (2007),9,Foil,playful,3,199877,0.015009230676866273
Roth (2007),10,Target,curiosity,0,199877,0.0
Roth (2007),10,Foil,curiously,1,199877,0.005003076892288758
Roth (2007),11,Target,greatly,0,199877,0.0
Roth (2007),11,Foil,greatness,0,199877,0.0
Roth (2007),12,Target,helper,1,199877,0.005003076892288758
Roth (2007),12,Foil,helpless,0,199877,0.0
Roth (2007),13,Target,strength,1,199877,0.005003076892288758
Roth (2007),13,Foil,strongly,0,199877,0.0
Roth (2007),14,Target,movable,0,199877,0.0
Roth (2007),14,Foil,movement,2,199877,0.010006153784577516
Roth (2007),15,Target,eighth,1,199877,0.005003076892288758
Roth (2007),15,Foil,eighty,2,199877,0.010006153784577516
Roth (2007),16,Target,shyly,0,199877,0.0
Roth (2007),16,Foil,shyness,0,199877,0.0
Roth (2007),17,Target,truth,4,199877,0.020012307569155032
Roth (2007),17,Foil,truly,3,199877,0.015009230676866273
Roth (2007),18,Target,width,0,199877,0.0
Roth (2007),18,Foil,widely,0,199877,0.0
Roth (2007),19,Target,creation,0,199877,0.0
Roth (2007),19,Foil,creature,21,199877,0.10506461473806392
Roth (2007),20,Target,desperation,0,199877,0.0
Roth (2007),20,Foil,desperately,0,199877,0.0
Singson et al. (2000),21,Target,operation,1,199877,0.005003076892288758
Singson et al. (2000),21,Foil,operational,0,199877,0.0
Singson et al. (2000),21,Foil,operative,0,199877,0.0
Singson et al. (2000),21,Foil,operationalize,0,199877,0.0
Singson et al. (2000),22,Target,gratify,0,199877,0.0
Singson et al. (2000),22,Foil,grateful,2,199877,0.010006153784577516
Singson et al. (2000),22,Foil,gratuity,0,199877,0.0
Singson et al. (2000),22,Foil,demonstrate,1,199877,0.005003076892288758
Singson et al. (2000),23,Target,demonstrate,1,199877,0.005003076892288758
Singson et al. (2000),23,Foil,demonstration,0,199877,0.0
Singson et al. (2000),23,Foil,demonstrative,0,199877,0.0
Singson et al. (2000),23,Foil,demonstrable,0,199877,0.0
Singson et al. (2000),24,Target,personality,1,199877,0.005003076892288758
Singson et al. (2000),24,Foil,personify,0,199877,0.0
Singson et al. (2000),24,Foil,personalize,0,199877,0.0
Singson et al. (2000),24,Foil,personal,2,199877,0.010006153784577516
Singson et al. (2000),25,Target,productive,0,199877,0.0
Singson et al. (2000),25,Foil,productivity,0,199877,0.0
Singson et al. (2000),25,Foil,production,0,199877,0.0
Singson et al. (2000),25,Foil,produce,0,199877,0.0
Singson et al. (2000),26,Target,fertilize,0,199877,0.0
Singson et al. (2000),26,Foil,fertilization,0,199877,0.0
Singson et al. (2000),26,Foil,fertility,0,199877,0.0
Singson et al. (2000),26,Foil,fertilizer,0,199877,0.0
Singson et al. (2000),27,Target,industrious,0,199877,0.0
Singson et al. (2000),27,Foil,industrialization,0,199877,0.0
Singson et al. (2000),27,Foil,industry,0,199877,0.0
Singson et al. (2000),27,Foil,industrialize,0,199877,0.0
Singson et al. (2000),28,Target,identical,0,199877,0.0
Singson et al. (2000),28,Foil,identify,0,199877,0.0
Singson et al. (2000),28,Foil,identification,0,199877,0.0
Singson et al. (2000),28,Foil,identity,1,199877,0.005003076892288758
Singson et al. (2000),29,Target,activist,0,199877,0.0
Singson et al. (2000),29,Foil,active,1,199877,0.005003076892288758
Singson et al. (2000),29,Foil,activate,0,199877,0.0
Singson et al. (2000),29,Foil,activize,0,199877,0.0
Singson et al. (2000),30,Target,brightness,0,199877,0.0
Singson et al. (2000),30,Foil,bright,77,199877,0.38523692070623433
Singson et al. (2000),30,Foil,brighten,2,199877,0.010006153784577516
Singson et al. (2000),30,Foil,brightly,5,199877,0.025015384461443788
Singson et al. (2000),31,Target,population,1,199877,0.005003076892288758
Singson et al. (2000),31,Foil,popular,2,199877,0.010006153784577516
Singson et al. (2000),31,Foil,populate,0,199877,0.0
Singson et al. (2000),31,Foil,popularize,0,199877,0.0
Singson et al. (2000),32,Target,electricity,1,199877,0.005003076892288758
Singson et al. (2000),32,Foil,electrify,0,199877,0.0
Singson et al. (2000),32,Foil,electrical,0,199877,0.0
Singson et al. (2000),32,Foil,electric,6,199877,0.030018461353732546
Singson et al. (2000),33,Target,regulate,0,199877,0.0
Singson et al. (2000),33,Foil,regulation,0,199877,0.0
